N,coverage_mean,coverage_std,set_size_mean,set_size_std
10,0.9503000000000001,0.04364527465831781,20.1951,15.02228353446972
25,0.9644,0.04812733111237314,34.631600000000006,33.98448622886625
50,0.9390000000000001,0.03841614244038565,13.9832,7.095089778149394
100,0.9422,0.019686543627564466,12.227000000000002,4.3712286373512885
250,0.9323,0.007906326580656759,8.9579,1.3588061635126625
